Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
CALA,"Calithera Biosciences, Inc.",5.26,206407297.06,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cala,
CALM,"Cal-Maine Foods, Inc.",37.02,1802669575.56,,1996.0,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/calm,
CLMT,"Calumet Specialty Products Partners, L.P.",4.25,329245379.25,,2006.0,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/clmt,
CRUSC,Calvert Management Series,99.98,99980000.0,,,,,https://www.nasdaq.com/symbol/crusc,
CLXT,"Calyxt, Inc.",12.7,415319705.3,,2017.0,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/clxt,
CATC,Cambridge Bancorp,82.23,398507137.5,,,Finance,Major Banks,https://www.nasdaq.com/symbol/catc,
CAC,Camden National Corporation,42.35,657344122.05,,,Finance,Major Banks,https://www.nasdaq.com/symbol/cac,
CAMT,Camtek Ltd.,8.06,294548766.72,,2000.0,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/camt,
CSIQ,Canadian Solar Inc.,19.09,1134650821.89,,2006.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/csiq,
CGIX,"Cancer Genetics, Inc.",0.1626,9400887.6162,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cgix,
CPHC,Canterbury Park Holding Corporation,12.8,58718745.6,,,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/cphc,
CBNK,"Capital Bancorp, Inc.",12.0,164623980.0,,2018.0,Finance,Major Banks,https://www.nasdaq.com/symbol/cbnk,
CCBG,Capital City Bank Group,23.41,393580273.85,,,Finance,Major Banks,https://www.nasdaq.com/symbol/ccbg,
CPLP,Capital Product Partners L.P.,10.08,183235046.4,,2007.0,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/cplp,
CSWC,Capital Southwest Corporation,21.57,371724114.45,,,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswc,
CSWCL,Capital Southwest Corporation,25.8397,0.0,,,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswcl,
CPTA,Capitala Finance Corp.,8.51,136973743.22,,2013.0,,,https://www.nasdaq.com/symbol/cpta,
CPTAG,Capitala Finance Corp.,24.88,0.0,,,,,https://www.nasdaq.com/symbol/cptag,
CPTAL,Capitala Finance Corp.,25.25,0.0,,,,,https://www.nasdaq.com/symbol/cptal,
CFFN,"Capitol Federal Financial, Inc.",13.28,1877414037.92,,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cffn,
CAPR,"Capricor Therapeutics, Inc.",0.3128,10846413.1952,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/capr,
CSTR,"CapStar Financial Holdings, Inc.",14.83,262183307.16,,2016.0,Finance,Major Banks,https://www.nasdaq.com/symbol/cstr,
CPST,Capstone Turbine Corporation,0.8411,60217099.397,,2000.0,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cpst,
CARA,"Cara Therapeutics, Inc.",20.56,817293019.36,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cara,
CBLK,"Carbon Black, Inc.",15.05,1077119560.3,,2018.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cblk,
CARB,"Carbonite, Inc.",23.67,815358620.07,,2011.0,Technology,EDP Services,https://www.nasdaq.com/symbol/carb,
CSII,"Cardiovascular Systems, Inc.",38.95,1356479788.9,,1981.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/csii,
